audio, image, foil, correct, sample, time, trigger, group, i_trial, block, response_time, subject
pick, puck, V, 1, 327842, 270.981, 2, 201, 65, B1, 1.872, WPM_01
cone, pyramid, S, 1, 332661, 274.964, 3, 202, 66, B1, 1.794, WPM_01
tag, tag, M, 0, 336900, 278.468, 4, 303, 67, B1, 2.174, WPM_01
dip, dip, M, 1, 342358, 282.979, 4, 203, 68, B1, 1.495, WPM_01
dine, dime, F, 1, 346285, 286.225, 1, 201, 69, B1, 1.773, WPM_01
buck, duck, I, 1, 350363, 289.596, 1, 201, 70, B1, 1.853, WPM_01
bed, bed, M, 1, 354832, 293.29, 4, 203, 71, B1, 1.621, WPM_01
palm, palm, M, 1, 359415, 297.078, 4, 203, 72, B1, 1.406, WPM_01
dime, dime, M, 1, 363409, 300.379, 4, 203, 73, B1, 1.346, WPM_01
big, pig, I, 1, 367277, 303.576, 1, 201, 74, B1, 1.853, WPM_01
calm, palm, I, 1, 372005, 307.484, 1, 201, 75, B1, 1.639, WPM_01
bat, bird, S, 1, 376025, 310.807, 3, 202, 76, B1, 1.721, WPM_01
king, queen, S, 1, 380215, 314.27, 3, 202, 77, B1, 1.689, WPM_01
type, handwrite, S, 1, 384436, 317.759, 3, 202, 78, B1, 1.693, WPM_01
tape, paperclip, S, 1, 388668, 321.257, 3, 202, 79, B1, 1.507, WPM_01
babe, bib, V, 1, 392716, 324.603, 2, 201, 80, B1, 1.952, WPM_01
gun, gum, F, 1, 397070, 328.202, 1, 201, 81, B1, 1.617, WPM_01
dart, dart, M, 1, 401219, 331.631, 4, 203, 82, B1, 1.619, WPM_01
boot, sneaker, S, 1, 405371, 335.063, 3, 202, 83, B1, 1.519, WPM_01
bag, bag, M, 1, 409487, 338.465, 4, 203, 84, B1, 1.54, WPM_01
bike, skateboard, S, 1, 413387, 341.689, 3, 202, 85, B1, 1.676, WPM_01
pig, cow, S, 1, 417590, 345.163, 3, 202, 86, B1, 1.496, WPM_01
pan, pan, M, 1, 421573, 348.455, 4, 203, 87, B1, 2.096, WPM_01
bark, meow, S, 1, 426688, 352.683, 3, 202, 88, B1, 2.034, WPM_01
boot, boot, M, 1, 431299, 356.494, 4, 203, 89, B1, 1.538, WPM_01
part, tart, I, 1, 435443, 359.919, 1, 201, 90, B1, 1.867, WPM_01
tack, tack, M, 1, 439941, 363.637, 4, 203, 91, B1, 1.598, WPM_01
boat, boat, M, 1, 444145, 367.112, 4, 203, 92, B1, 1.403, WPM_01
bait, boot, V, 1, 447898, 370.214, 2, 201, 93, B1, 1.767, WPM_01
peck, peck, M, 1, 452368, 373.909, 4, 203, 94, B1, 1.683, WPM_01
beg, peg, I, 1, 456771, 377.548, 1, 201, 95, B1, 2.544, WPM_01
duck, duck, M, 1, 462343, 382.154, 4, 203, 96, B1, 1.86, WPM_01
coop, cup, V, 1, 466730, 385.78, 2, 201, 97, B1, 1.777, WPM_01
cob, cub, V, 1, 471474, 389.701, 2, 201, 98, B1, 1.821, WPM_01
coin, coin, M, 1, 476086, 393.513, 4, 203, 99, B1, 1.337, WPM_01
cap, cap, M, 1, 481293, 397.817, 4, 203, 100, B1, 1.377, WPM_01
dirt, stones, S, 1, 45724, 37.794, 3, 202, 1, B2, 1.663, WPM_01
dock, dock, M, 1, 50265, 41.547, 4, 203, 2, B2, 1.582, WPM_01
comb, comb, M, 1, 54187, 44.789, 4, 203, 3, B2, 1.164, WPM_01
kick, tick, I, 1, 57839, 47.807, 1, 201, 4, B2, 1.521, WPM_01
coin, coin, M, 1, 61858, 51.129, 4, 203, 5, B2, 1.264, WPM_01
tub, tub, M, 1, 65551, 54.182, 4, 203, 6, B2, 1.228, WPM_01
duck, duck, M, 1, 69215, 57.21, 4, 203, 7, B2, 1.37, WPM_01
